Week Month Year MICAA ARROW DUNCA DWORS FLASF LIBBY ALBEN FLAPO CORRA BROWN GCOUL
20 12 2010 18444192 5743031 971809 2213560 2309751 4434658 499048 1752171 817000 1315344 9107400
21 12 2010 18149547 5531246 901148 2207659 2195911 4244400 499048 1734518 817000 1301510 9107400
22 12 2010 17854903 5319461 830487 2201758 2083480 3869400 499048 1716865 817000 1287675 9107400
23 1 2011 14091674.6431841 1492411.99930323 241579.334194784 2107940 1556642.01168678 3368883.88057431 499048 1657718 810693 1255979 9107400
24 1 2011 14075985.9773393 1488179.24706156 246779.845471695 2107940 1549764.59915378 3307504.44478646 499048 1598571 804386 1224283 9107400
25 1 2011 14072797.5276031 1500656.56976708 257831.025182959 2107940 1530157.70113976 3058588.43096415 499048 1539424 779185 1192587 9107400
26 1 2011 14056360.5566321 1514683.67863223 261728.889085138 2107940 1509521.84727139 2788317.9079522 499048 1480277 741641 1160891 9107400
27 1 2011 14037650.9574569 1523987.99872542 265005.22945874 2107940 1489592.61024624 2518047.38494024 499048 1421130 704096 1129195 9107400
28 2 2011 14009940.8821133 1507423.0477427 262636.406535053 2102386 1472096.80132659 2284159.43233375 499048 1297560 670000 1117691 9054334.63174924
29 2 2011 14003334.7601482 1518882.03075201 265333.748231449 2096833 1456327.83855518 2050271.47972725 499048 1173990 626375 1106187 9001342.86317706
30 2 2011 13996234.6052298 1529186.18648683 266831.852603702 2091279 1438478.96463358 1816383.52712075 499048 1050419 582750 1094683 8948351.09460488
31 2 2011 13988638.2450911 1541348.04172967 223670.977515887 2085725 1422310.50778902 1582495.57451426 499048 926849 539125 1033637.4536349 8895359.3260327
32 3 2011 13984453.0681668 1564253.3136796 198154.223143976 2096634 1420962.46574031 1432557.82306621 499048 838337 495500 1012918.59958222 8258073.54044141
33 3 2011 13930271.9611138 1526473.60638877 172637.468772065 2107543 1415108.58212264 1282620.07161815 499048 749825 413175 992199.745529529 7620814.15517155
34 3 2011 13883328.4770459 1500985.15805417 172637.468772065 2118452 1466099.40554447 1282620.07161815 499048 661312 330850 971480.891476842 6983554.76990169
