"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1981-02-01 2 27 1 1981 3300195.95897353 0 1144838.03853337 552162.924299828 479005.76185129 0 61504.50059036 0 NA 6123.97865420564 NA NA 0 0 0 10000003194.5105 247576.067122793 973645.014233544
1981-02-08 2 28 8 1981 3022750.71801389 0 912677.386260416 891046.528235853 296716.177749863 0 55796.820067329 0 NA 99923.1651068572 NA NA 9.31322574615479e-10 0 0 10000001986.7823 162899.73086011 893443.912807168
1981-02-15 2 29 15 1981 2819735.43492499 0 51022.1563908963 33038.217223106 33038.217223106 0 58390.900286345 0 NA 0 NA NA 0 0 0 10000000795.5503 151113.314648405 859123.217223106
1981-02-22 2 30 22 1981 2431792.77122509 0 258742.250186308 248972.913331639 248972.913331639 0 40322.873516808 0 NA 0 NA NA 0 0 0 10000001681.4251 311544.896497743 1133173.91333164
1981-03-01 3 31 1 1981 2407393.47509833 0 807037.035634665 792777.101402948 9584.04835061706 0 36460.618947841 0 NA 18683.0629081387 NA NA 0 0 0 10000003084.5174 264442.374495524 1597621.85790121
1981-03-08 3 32 8 1981 2234845.63320691 0 583653.101402948 583653.101402948 58558.8479330903 0 60345.182719844 0 NA 53684.575047965 NA NA 0 0 0 10000004163.2635 178304.999177425 1163445.12515722
1981-03-15 3 33 15 1981 1894394.641433 0 418169.101402948 417669.101402948 107275.214681464 0 59964.086885034 0 NA 0 NA NA 1.86264514923096e-09 0 0 10000004203.9298 189967.296001729 1025332.96582606
1981-03-22 3 34 22 1981 1891224.98132693 0 258134.101402948 257634.101402948 147512.788602323 0 60224.016150482 0 NA 0 NA NA 0 0 0 10000004230.5649 277385.377254025 911375.810834164
1981-03-29 3 35 29 1981 1673129.2818387 0 87192.1014029477 86692.1014029477 0 0 54632.170242353 0 NA 912.352760180474 NA NA 0 0 0 10000004250.657 336288.022477818 926790.696847371
1981-04-05 4 36 5 1981 1476319.53155794 0 500 0 0 0 52968.961401498 0 NA 2967.81367450996 NA NA 0 0 0 10000004365.4249 364590.877055142 794015.493863115
1981-04-12 4 37 12 1981 1433402.86561251 0 500 0 0 159488.106900277 60275.650027124 0 NA 1581.94126959284 NA NA 0 0 0 10000004486.9022 279973.065406376 683432.185683261
1981-04-19 4 38 19 1981 1833013.61762779 0 500 0 0 130128.772250823 64663.32162914 70934.524753266 NA 80062.0951890096 NA NA 0 0 0 10000004288.8774 233762.002250823 540051.789961417
1981-04-26 4 39 26 1981 1835536.47012828 0 500 0 0 125466.84292976 68898.50769893 0 NA 87108.9874516979 NA NA 0 0 0 10000003282.7358 385247.23316641 643265.841867286
1981-05-03 5 40 3 1981 1552011.96207783 0 3978100 3978100 479889.1728351 179117.161920025 38440.4670685291 5.78662937630197e-10 NA 0 NA NA 2737085.15792217 0 0 10000003257.6571 406470.337252449 1859699.9732089
