"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1986-08-31 8 5 31 1986 414864.818221784 NA 468480.812181565 1413124.75581844 0 904180 60674.6649246349
1986-09-07 9 6 7 1986 635647.327940345 NA 770245.785066499 970437.846933501 0 988980 240621.115909798
1986-09-14 9 7 14 1986 591267.950110752 NA 650705.074462211 1089978.55753779 0 988980 364652.710491087
1986-09-21 9 8 21 1986 670115.813429472 NA 644368.646067924 1096314.98593208 0 988980 434471.508019812
1986-09-28 9 9 28 1986 802586.763411957 NA 693509.540109401 1047174.0918906 0 988980 511948.190447977
1986-10-05 10 10 5 1986 1164774.66125794 NA 558436.235240558 1069112.88475944 114307.211993213 1125720 554950.760070952
1986-10-12 10 11 12 1986 1224233.05264581 NA 603502.593820112 1024046.52617989 49132.2153898547 1125720 407093.609945871
1986-10-19 10 12 19 1986 1162661.06188752 NA 704657.28974617 922891.83025383 8963.5490145021 1125720 345603.486512555
1986-10-26 10 13 26 1986 1022889.74831269 NA 829170.998581308 798378.121418692 0 1125720 300235.974024631
1986-11-02 11 14 2 1986 1119432.58839244 NA 783751.707557624 843797.412442376 1941.68043370172 1203100 459136.174274108
1986-11-09 11 15 9 1986 1219041.15619573 NA 373827.594592284 1589155.42940772 779.406694030671 1203100 156377.422285219
1986-11-16 11 16 16 1986 1249970.45632052 NA 656490.235566336 1306492.78843366 6371.81533626155 1106640 221617.675509595
1986-11-23 11 17 23 1986 1255545.72954392 NA 948800.558830154 1014182.46516985 0 1106640 253766.037583793
1986-11-30 11 18 30 1986 1333296.27727286 NA 717342.44699974 1245640.57700026 79100.553477179 998520 530558.353860651
1986-12-07 12 19 7 1986 1748426.54704587 NA 782933.151396764 1503574.88060324 196320.281514782 998520 706171.136224576
1986-12-14 12 20 14 1986 1712683.30799622 NA 517068.063683868 1769439.96831613 243837.45417816 998520 616266.490979021
1986-12-21 12 21 21 1986 1638812.59173454 NA 431784.300153432 1854723.73184657 117592.729586767 998520 376805.695304397
1986-12-28 12 22 28 1986 1665212.34126357 NA 412608.608423705 1873899.42357629 115260.421095335 998520 353993.188927763
1987-01-04 1 23 4 1987 2502844.7791781 NA 906725.054418415 1369858.89758159 2674416.66887813 1010180 3723988.14116726
1987-01-11 1 24 11 1987 1648912.89565496 NA 665370.217470495 1611213.73452951 980191.013848057 1010180 1730993.10924028
1987-01-18 1 25 18 1987 1131828.49617654 NA 1036841.67198321 1239742.28001679 38927.4136131901 1010180 367910.584429111
1987-01-25 1 26 25 1987 1254478.34676715 NA 850203.348046732 1426380.60395327 3844.51988078205 1010180 245078.157384257
1987-02-01 2 27 1 1987 1491691.71650465 NA 858294.518424178 1418289.43357582 4638.17084009934 1022900 305495.999001812
1987-02-08 2 28 8 1987 1209336.36010949 NA 252285.021331943 1865513.65066806 1530339.20809027 1092860 2022479.99128113
1987-02-15 2 29 15 1987 1157749.06952837 NA 527383.233839469 1590415.43816053 648977.546909525 1022900 1263047.63880113
1987-02-22 2 30 22 1987 1264898.88096689 NA 595939.573943732 1521859.09805627 6770.39595365679 1022900 492086.037655008
1987-03-01 3 31 1 1987 1080668.11041459 NA 954045.233107276 1163753.43889272 2098.88235760111 1022900 357667.612212644
1987-03-08 3 32 8 1987 543679.409330517 NA 801296.166620249 1060461.24137975 4071.47171339933 1092860 323898.412493388
1987-03-15 3 33 15 1987 774816.086707455 NA 221533.203365299 1640224.2046347 80928.129955612 1092860 728803.864358381
1987-03-22 3 34 22 1987 1006110.37092535 NA 384300.521314826 1477456.88668517 309524.813714895 1115120 1050771.62623061
1987-03-29 3 35 29 1987 839828.795229602 NA 456410.442101667 1405346.96589833 146384.529662733 1115120 765992.78412382
1987-04-05 4 36 5 1987 746711.832541043 NA 372588.165055233 1344277.67494477 0 1190380 190024.014179339
1987-04-12 4 37 12 1987 1657710.0925885 NA 229087.482193843 1487778.35780616 117010.000495342 1190380 639849.184786621
1987-04-19 4 38 19 1987 2344912.69024072 NA 0 2093075.09904517 0 994788.996954832 165279.588119313
1987-04-26 4 39 26 1987 3827156.47890591 NA 0 2186010.31833366 0 901853.777666342 408540.410633061
1987-05-03 5 40 3 1987 6170072.1612025 NA 0 2974690.03171301 2625336.49741981 376045.29628699 3230339.42957259
1987-05-10 5 41 10 1987 10525947.9299141 NA 0 2630465.48001167 1999043.56300808 720269.847988326 2478484.05815296
1987-05-17 5 42 17 1987 41485839.1281376 NA 0 2732474.32273149 482367.653706908 618261.005268507 1036605.07396974
1987-05-24 5 43 24 1987 15907257.6624587 NA 0 2197433.78571118 34098.60007221 1153301.54228882 658954.886367055
1987-05-31 5 44 31 1987 38179844.5418483 NA 669415.118411247 1430520.20958875 0 1250800 412226.162212131
1987-06-07 6 45 7 1987 16093267.7111609 NA 598289.918883425 1479812.43311657 0 1071660 552621.038605321
1987-06-14 6 46 14 1987 21965174.0545535 NA 291105.049874814 1786997.30212519 0 1071660 368589.393987903
1987-06-21 6 47 21 1987 22232262.0189905 NA 194967.861281655 1883134.49071835 0 1071660 184412.219199312
1987-06-28 6 48 28 1987 6725814.31136562 NA 0 2609555.95749842 0 540206.394501584 0
1987-07-05 7 49 5 1987 17769305.6699665 NA 563634.420613283 1490650.13938672 0 898880 0
1987-07-12 7 50 12 1987 14025881.5150825 NA 902343.439176762 1151941.12082324 0 898880 0
1987-07-19 7 51 19 1987 7146424.60138346 NA 78136.7573044763 1976147.80269552 0 898880 0
1987-07-26 7 52 26 1987 6418652.30430529 NA 836916.669014593 1217367.89098541 0 898880 0
1987-08-02 8 1 2 1987 18903456.6358734 NA 0 2259864.88954589 0 567601.81445411 0
