"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1996-02-04 2 27 4 1996 4104278.63611268 0 1214072.83920865 584586.749285435 49470.503052922 0 67564.085831839 0 NA 0 NA NA 0 0 0 10000006856.5377 133721.13111155 465984.503052922
1996-02-11 2 28 11 1996 3408441.51753053 0 1293672.11645428 1261355.17318911 392890.376475001 0 69224.010428048 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000005906.9727 98612.4751176155 528132.289419837
1996-02-18 2 29 18 1996 1639449.32726317 0 197745.600000007 179150.600000006 0 0 73326.664629155 0 NA 0 NA NA 0 0 0 10000002983.7169 122086.436876248 336712.555684937
1996-02-25 2 30 25 1996 1826884.07725469 0 0 0 0 0 58132.888971793 0 NA 0 NA NA 0 0 0 10000004100.7113 218389.714797084 775624.136676925
1996-03-03 3 31 3 1996 2205967.34045127 0 0 0 0 0 65782.144751695 0 NA 0 NA NA 0 0 0 10000005183.009 153595.137597691 722474.967259275
1996-03-10 3 32 10 1996 1745985.02954734 0 235507.77693554 235507.77693554 235507.77693554 0 66495.689303792 0 NA 0 NA NA 1.86264514923096e-09 0 0 10000005412.3598 119988.995384207 726795.776935541
1996-03-17 3 33 17 1996 1400573.26132035 0 324749.405070571 324749.405070571 324749.405070571 0 61823.411179544 0 NA 0 NA NA 0 0 0 10000005247.0186 206452.841167731 772997.405070571
1996-03-24 3 34 24 1996 1401606.5049463 0 254527.192449758 197923.087055163 197923.087055163 0 60715.810071861 0 NA 0 NA NA 0 0 0 10000005144.187 151393.332459524 684516.091432335
1996-03-31 3 35 31 1996 1538490.79816644 0 155743 60437 60437 0 60663.816228972 0 NA 55519.4222397364 NA NA 0 0 0 10000005057.9006 123017.104908322 718190.586240175
1996-04-07 4 36 7 1996 1837796.09013764 0 31769.9129448333 24827.9129448365 24827.9129448365 0 67579.289138607 0 NA 153264.601660532 NA NA 0 0 0 10000004787.3266 141928.767328635 557260.663917388
1996-04-14 4 37 14 1996 1861965.29883863 0 6942.00000000512 0 0 18973.8159859024 66542.769226287 0 NA 163791.48332072 NA NA 0 0 0 10000004042.9388 120227.045985902 535184.439272687
1996-04-21 4 38 21 1996 1277545.3803802 0 6942.00000000279 0 0 103034.357826675 64793.010957448 24357.423312013 NA 158698.21775607 NA NA 0 0 0 10000003433.5088 206667.587826675 684626.213903714
1996-04-28 4 39 28 1996 1314778.13279354 0 2628.45901816571 0 0 137008.693837143 62496.550591577 0 NA 163783.746299671 NA NA 0 0 0 352395.118833866 240641.923837142 641977.994002644
1996-05-05 5 40 5 1996 1274132.47286638 0 0 0 0 133895.914078914 59981.274330827 0 NA 132571.603138755 NA NA 0 0 0 352395.118833866 252088.144078914 971944.202361754
1996-05-12 5 41 12 1996 1800024.39676888 0 0 0 0 0 67907.350094454 0 NA 234976.269688722 NA NA 0 0 0 355761.683255085 52626.6182850672 373849.468726186
1996-05-19 5 42 19 1996 1779473.81502133 0 2167037.73076178 2167037.73076178 396458.642998398 108562.229118962 67488.35597315 0 NA 0 NA NA 985011.857248886 985011.857248886 0 356918.901375957 292320.070833895 1662786.25818361
