"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1982-12-19 12 21 19 1982 2158.50413641855 25162248.868642 503355.137871297 11453.9833437824 1645350.01665622 507409.185639998 1819655.38334378
1982-12-26 12 22 26 1982 3832.57349964128 24169600.6757944 454210.006528509 19759.2287232177 1724308.77127678 453877.557435937 1454400
1983-01-02 1 23 2 1983 50497.0059441303 28019120.8284615 5274057.65913406 249950.46443173 1497511.13556827 5104874.31742925 727200
1983-01-09 1 24 9 1983 34176.5811611571 27054694.1013663 4656922.71937959 174768.004283205 1576087.19571679 4540686.44990232 727200
1983-01-16 1 25 16 1983 44536.651811754 26010117.5545596 4014168.04448668 234290.760297022 1519958.03970298 3853660.23059238 727200
1983-01-23 1 26 23 1983 26652.9928409816 24875668.7582186 3332963.40210432 144815.581396786 1612826.81860321 3236697.3798862 727200
1983-01-30 1 27 30 1983 29933.1384927659 23711556.0046046 2672067.34720604 168145.836382366 1592890.16361763 2557359.27030925 727200
1983-02-06 2 28 6 1983 4726.61128208168 22506887.7521497 3270980.99424622 22593.6743794153 1625120.32562058 3264311.4701524 969600
1983-02-13 2 29 13 1983 0 21587122.3465951 2602383.75338199 0 1550474.17738157 2612382.75338199 938325.822618426
1983-02-20 2 30 20 1983 0 20888557.6965295 2036155.8583597 0 1791094.58715257 2046154.8583597 585505.412847427
1983-02-27 2 31 27 1983 0 20694510.847599 1893461.86138048 0 1834018.48565316 1903460.86138048 430381.514346837
1983-03-06 3 32 6 1983 0 20856523.720177 2791370.59010081 0 1945286.06634523 2801369.59010081 1310613.93365477
1983-03-13 3 33 13 1983 0 20043856.3419279 2227077.15904697 0 2579134.3311815 2237076.15904697 577465.668818498
1983-03-20 3 34 20 1983 0 19747495.610435 2174312.21964053 0 2154423.12333257 2184311.21964053 902876.876667434
1983-03-27 3 35 27 1983 0 19131479.8146435 1793217.74370803 0 1985196.48369041 1803216.74370803 972803.516309593
1983-04-03 4 36 3 1983 0 16875558.5710995 1118386.92334962 0 3204991.99954012 1128385.92334962 0
1983-04-10 4 37 10 1983 0 16874028.8994821 1478705.09898496 0 1678463.65468659 1488704.09898496 1037736.34531341
1983-04-17 4 38 17 1983 0 16453787.8173609 922199.844016002 0 1824507.52147695 932198.844016002 831392.478523051
1983-04-24 4 39 24 1983 0 16807819.9913853 1025870.92461774 0 3081659.69644097 1035869.92461774 0
1983-05-01 5 40 1 1983 0 17645332.0291594 751537.911691382 0 2593645.00787072 761536.911691382 0
1983-05-08 5 41 8 1983 0 18599118.8315935 931945.856820894 0 2756870.02679261 941944.856820894 0
1983-05-15 5 42 15 1983 0 19667256.1509169 1161711.95550018 0 2648962.83837283 1171710.95550018 0
1983-05-22 5 43 22 1983 0 23234570.56541 2361427.33434517 0 3101414.87704845 2371426.33434517 0
1983-05-29 5 44 29 1983 0 29356394.4894755 4228123.28976923 0 3473343.23785971 4238122.28976923 0
1983-06-05 6 45 5 1983 0 34797799.8030413 2910591.42698298 0 3187178.24539342 2920590.42698298 0
1983-06-12 6 46 12 1983 0 37312996.1353302 3085068.87916759 0 3715513.34941842 3095067.87916759 0
1983-06-19 6 47 19 1983 0 38889963.0280266 3039999.54476112 0 3223473.16647445 3049998.54476112 0
1983-06-26 6 48 26 1983 0 59016999.1018371 2774654.93870692 0 3339031.70924613 2784653.93870692 0
1983-07-03 7 49 3 1983 0 41439540.6117227 2500466.87424126 0 3280355.62468396 2510465.87424126 595344.375316039
1983-07-10 7 50 10 1983 0 42880934.1265205 2448862.52300148 0 3523922.85374803 2458861.52300148 334677.146251972
1983-07-17 7 51 17 1983 0 43252831.6798662 1757254.31194986 0 3645643.6469007 1767253.31194986 195856.3530993
1983-07-24 7 52 24 1983 0 67970079.6702467 0 0 3129861.28407595 9999 694538.715924049
1983-08-07 8 1 7 1983 0 179473353.819908 3342145.84687956 0 3303005.51614869 3352144.84687956 0
1983-08-14 8 2 14 1983 0 274958393.127979 2779559.19466622 0 3232125.73012862 2789558.19466622 0
1983-08-21 8 3 21 1983 0 347416716.669805 2368822.92725973 0 3154426.37857521 2378821.92725973 0
1983-08-28 8 4 28 1983 0 186677403.559935 2237779.2548217 0 1946597.06909599 2247778.2548217 0
1983-09-04 9 5 4 1983 37470.513562588 40601016.5222629 2843301.79915884 222157.225925337 998326.774074663 2690381.05028848 484800
1983-09-11 9 6 11 1983 93000.6039126242 40524909.1399048 3145141.70257152 518255.12445518 745860.87554482 2778253.23730254 181800
1983-09-18 9 7 18 1983 101657.432886119 40073992.3509154 2703384.17087903 554916.225523748 752831.774476252 2371084.37847441 181800
1983-09-25 9 8 25 1983 108721.141740466 39903276.1039467 2517054.86947546 593395.806229502 757984.193770498 2174301.9311259 181800
1983-10-02 10 9 2 1983 115569.227215995 34073841.4932268 2212113.83616672 549152.410748397 845859.589251603 1847816.56297809 181800
1983-10-09 10 10 9 1983 136035.737556451 33348647.0936453 2801692.10371121 613254.856270955 816662.743729045 2392087.23373767 363600
1983-10-16 10 11 16 1983 143556.81006253 32387833.8388816 2195804.55838964 654179.196262098 810644.003737902 1757151.79881299 363600
1983-10-23 10 12 23 1983 153457.413234837 31598496.679176 1699073.2301797 710411.981040221 789316.818959779 1225348.93931283 363600
1983-10-30 10 13 30 1983 153039.757564285 30986509.6405243 1392696.73484701 706472.892521813 828161.507478187 920995.727181299 363600
1983-11-06 11 14 6 1983 0 30390237.5505181 943753.883334731 0 1721628.71572368 953752.883334731 195971.284276317
1983-11-13 11 15 13 1983 0 30970947.587755 2848428.35295624 0 1720631.43796236 2858427.35295624 3062568.56203764
1983-11-20 11 16 20 1983 0 29132637.5607046 883654.003174171 0 1612863.5943557 893653.003174171 3127136.4056443
1983-11-27 11 17 27 1983 0 28574622.5656148 386774.713774357 0 1645419.98189353 396773.713774357 3051380.01810647
1983-12-04 12 18 4 1983 0 28226166.071381 321665.326052047 0 1851407.65625464 331664.326052047 2802192.34374536
1983-12-11 12 19 11 1983 0 27835127.1184553 1362818.52475283 0 1604721.50954376 1372817.52475283 1700694.69045624
1983-12-18 12 20 18 1983 0 26018858.467403 459219.772741047 0 1763214.10785324 469218.772741047 1621996.69214676
1983-12-25 12 21 25 1983 0 25067715.3766937 471066.002597685 0 1930381.48435144 481065.002597685 1534623.91564856
1984-01-01 1 22 1 1984 35372.8639021178 28985657.665595 2020292.74159062 226850.944094376 1517217.05590562 1863606.57585551 1454400
1984-01-08 1 23 8 1984 52115.6566890016 27632205.6523117 5288272.16574492 254811.603340404 1492649.9966596 5113831.87571174 727200
1984-01-15 1 24 15 1984 22004.371955294 26461368.1152734 4516482.1553021 110267.528615931 1640587.67138407 4446171.11885761 727200
1984-01-22 1 25 22 1984 45534.463441158 25568705.5703324 4025135.36185231 236455.472240324 1517793.32775968 3860664.2171527 727200
