"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1998-12-20 12 21 20 1998 431593.515042858 445087.071171429 593457.605600849 65505.4839615554 40288.2716571428 58008.6053999999 161592.752032984 35710.6530714286 54220.4084428572 87919.5880142858 93693.4733428572 166605.6 179158.990671429 1487271.94450526 1508114.26227669 1520945.33894812 1531394.26643383 1546813.77331955 1547309.64117669 1560021.7095624 49227.0005483204 53323.6340951035 239859.216385714 239859.216385714 245888.969528571 30605.105061741 364962.850718884 362624.337904599 343164.3588 342825.185185715 1993644.26633383 2037913.36514812 2129535.86084812 2212684.96660526
1998-12-27 12 22 27 1998 120445.228154238 135618.784582809 211396.335791501 12841.2528111028 93979.2518231726 120434.793737458 203539.51661999 26469.6596857142 58762.5580142858 124002.900242857 129647.859928571 199904.4014 197792.004328571 1076223.34324988 1100723.1823356 1116212.11072131 1128460.04679274 1169277.90532131 1167837.90506417 1192684.85164988 47073.6633982435 50181.3796818666 272592.445371429 272592.445371429 290868.151114286 98137.8682142858 708299.299485714 701345.248657143 703327.067742857 665696.647800001 1962624.82384988 2125969.64640702 2266593.80374988 2567056.00616417
1999-01-03 1 23 3 1999 298222.484902172 318852.571230743 660661.720959877 32627.3380959005 640952.110975182 666187.817960896 791595.282942512 39626.4558956007 68850.9239241722 128501.413442857 134237.612814286 191179.540809886 203919.377795601 1510460.7164139 1533552.29078532 1551498.74027104 1565129.15592818 1596291.47554247 1596886.51697104 1618700.73574247 45518.2720399196 59974.6451166216 366324.023514286 366324.023514286 396815.929785714 35437.7175076045 654983.604421891 659698.316007605 656140.934771428 621023.573128571 2406320.04109961 2509912.78687104 2625634.46042818 2693699.26597104
1999-01-10 1 24 10 1999 279281.650377676 304800.993777676 624803.383368611 39855.5662659486 58608.338510332 87438.0957246177 229634.121161995 35689.5913762655 67915.0516762655 124351.991214285 130738.769214285 207404.66336198 212220.531990551 1454773.39766868 1476301.9965544 1493925.14019725 1512323.82116868 1559103.99481154 1556963.82914011 1571822.01361154 44317.7626024173 59046.4909162177 390218.903814286 390218.903814286 415843.3712 46022.1929498641 732105.612407006 724933.379721292 721079.789342857 713681.440914285 2330663.13201154 2378994.38031154 2476218.19932583 2522712.75308297
1999-01-17 1 25 17 1999 318312.890437327 341644.464851613 706258.206971051 86369.1342784812 68627.2589733544 117557.515644783 311691.903451835 50275.7864735733 86609.0161021447 137569.844814286 147471.334185714 240276.481559288 259700.617259288 1512399.60008233 1560645.5591109 1591986.39115376 1616371.18889661 1668276.6527109 1669230.70246804 1688902.77209661 44196.9026571 59333.5047005638 445531.971542857 445531.971542857 475061.894171429 64311.5531887352 829529.532231592 834133.169417306 823343.609257142 801711.869857142 2698635.17496804 2838170.40649661 2970053.40525375 3061094.74382518
1999-01-24 1 26 24 1999 302963.892559275 325460.425502132 696015.510819799 80611.2268038334 42334.3130689982 65921.7552975697 243216.580758546 51098.3499900622 79953.8923329194 121287.527857143 128396.289457143 204468.294732919 220802.181947205 1521709.18508879 1565393.15983165 1595220.60317451 1613883.08584593 1645438.13280308 1646134.33127451 1657011.68858879 43763.7327581076 91492.0099534104 421210.644885714 421210.644885714 448667.839871429 70425.4510600438 724245.724260044 728331.675402901 692799.453714286 669844.738871429 2487027.69573165 2582904.73764594 2692937.81514594 2762283.94323165
1999-01-31 1 27 31 1999 267538.544433652 290503.176633652 646352.550445726 90954.3056447635 35806.2160529158 57132.5008529158 260096.688883393 43954.3656982935 79480.3224554365 122164.222228572 127666.371971429 199014.228098294 207400.345298294 1454754.28986554 1483974.79095126 1512735.12666554 1527414.7987084 1554538.77049412 1554282.90267983 1577610.51015126 43275.1415746803 63331.5033045392 366004.684614286 366004.684614286 398848.988 71736.4689109678 639398.710196683 640291.27233954 597223.899457143 575459.267471429 2229744.83263697 2299406.33267983 2394168.66365126 2465508.18052268
1999-02-07 2 28 7 1999 274494.243001485 295860.197230056 840169.58434933 112859.142157113 499920.674096045 522101.835081759 748922.452381729 38462.5212911966 74440.7095340537 124830.007828572 130034.636857143 187702.878519768 209366.353462625 1619096.69448338 1648233.8897691 1676904.9692691 1690291.41794053 1713853.07504053 1714473.90159767 1749615.06489767 83034.0698435036 123887.287119227 471519.150671429 471519.150671429 504623.288814286 50091.8488835136 720618.638397799 719380.952226371 708657.044257143 692448.115742858 2530591.46091195 2595809.98495481 2701314.79718338 2788827.54008338
1999-02-14 2 29 14 1999 277296.112132283 297176.446260854 725233.86695918 114327.521657143 45133.8923571431 63227.1187285716 288823.561328571 42349.9344134311 75275.5601277167 118284.552114286 122646.205785714 190420.043499145 200450.458513431 1534999.7999869 1561405.75511547 1588876.83440118 1599643.11731547 1618545.60002975 1618339.31900118 1637319.15710118 82739.6835872233 143170.256243708 442237.161971429 442237.161971429 478290.722128571 51765.8261320396 700363.35553204 698578.231246326 685632.907914286 673642.823128571 2371071.08187261 2447896.88071547 2555777.89171547 2626720.71430119
1999-02-21 2 30 21 1999 285030.436137381 304714.406594524 640998.794906672 118086.200014286 47432.7357428572 68134.2270428572 320764.385214286 45588.2963724246 79642.5173295675 122186.040414286 126642.900714286 235680.231143853 245778.08418671 1467810.03450767 1489199.79039338 1516635.16719338 1523291.69730767 1542029.55189338 1539570.04732196 1556532.6949791 82202.1077023526 129468.55729204 549971.396085714 549971.396085714 590876.527357143 77189.3281008816 961181.279700882 947449.707000882 965361.883485715 965669.321557143 2518754.74319338 2637800.71486481 2744253.62643624 2853600.42282195
1999-02-28 2 31 28 1999 194146.251956785 216174.685642499 374263.79888745 117963.224785714 49436.0418857145 75834.0631285716 320176.2942 42380.3336207473 75411.0833207474 135368.191528572 140941.746242858 230762.516020747 272655.416063604 1170822.4428082 1203670.71313677 1234567.24757963 1249685.2668082 1272842.29573677 1274103.78356534 1288236.01749391 81847.1178359059 127290.931875895 615784.961557142 615784.961557142 663705.631271428 94892.3340974863 1215891.27016891 1220782.51071177 1229512.67445715 1209106.7204 2669591.36369392 2877421.48345106 3010587.78822249 3104251.27602249
1999-03-07 3 32 7 1999 458901.161270198 479408.272370198 1346665.35968464 6958.01777142857 216639.347171429 244880.013371429 401578.208128571 65791.3884937041 95559.3276937041 127708.024871429 133432.323414286 220533.895465132 247201.668822275 2176984.81239263 2205570.6026212 2234570.93837834 2248584.1640212 2267778.21703548 2268343.50639263 2282779.21144977 64513.0791180017 99884.2548593502 538536.604557143 538536.604557143 566172.311971429 164227.975783149 980379.175368863 982846.613826006 861755.174671429 836083.103971429 3221790.59826406 3315577.06129263 3439460.71977834 3476704.36279263
