"Year","Month","BROWN","LGOOS","LMONU","LGRAN"
2003,11,12755.7774774836,20039.0586845171,20224.7906515513,20046.7114491888
2003,12,13938.4510980722,24100.4134026481,24801.5803254973,24094.3749332302
2004,1,13873.9184178189,22912.6394609885,24097.9562094107,22963.4212755608
2004,2,17245.4281417914,31950.7233605843,34121.0052071481,31962.6660925224
2004,3,23607.1984271299,54129.8830934693,56046.3452712436,54194.7180272637
2004,4,24685.4222949875,73118.4916248095,74271.328277918,73129.0909603981
2004,5,30642.948752821,111126.281613327,112275.220805606,111262.138019197
2004,6,28326.3832984266,94396.80096704,95197.3817453523,94228.9052085059
2004,7,15395.4139130449,35126.8589005813,35597.4319250658,35043.2632105611
2004,8,11802.8619372015,22882.0330462869,23221.8852529517,22873.4548159261
2004,9,13600.8819489489,26637.9379296876,26856.8905292625,26637.0990625749
2004,10,14675.380759961,25832.1540284934,25961.1369796618,25848.2745209783
2004,11,13006.5096574838,26792.8324767154,26976.2552924215,26795.2021774592
2004,12,14083.3519092932,31265.2147809998,31990.8029206148,31272.6094680549
2005,1,13183.8419037045,30100.1255066372,30944.9704975107,30126.6010835087
2005,2,12691.7686987594,27049.3645581896,28038.1816700332,27025.1361386849
2005,3,15105.5810971372,33831.9372133887,34744.5618314553,33923.7944372388
2005,4,18847.6539108968,55273.4744742949,56431.994085593,55318.0183272548
2005,5,39506.0970774107,115583.507671822,116651.647653208,115709.095335707
2005,6,26878.7168315106,75420.6263681369,75927.5573712684,75329.4478650589
2005,7,13901.836163635,32701.0054398892,33114.2165853038,32605.1738410493
2005,8,10620.5283560318,19624.7145962956,19897.1005556372,19608.4603790968
2005,9,12325.1872329866,19437.8914382116,19597.2289935843,19453.2442255747
2005,10,13940.1429968871,22179.0900658159,22290.3808606752,22208.9162677566
2005,11,13675.3119842273,23113.4450595922,23304.0294591943,23103.076519168
2005,12,17909.989652532,29599.3973415226,30306.7818318424,29744.8769035137
2006,1,24433.0796215966,48494.4667929884,51376.6443244856,48411.5815992765
2006,2,20235.3061285989,35625.0858747391,37672.0408228184,35689.5123572838
2006,3,29951.2726119539,54980.8230736138,57010.4391640205,55046.5610179738
2006,4,63013.5430235218,128402.295234294,130947.313392683,128621.882009817
2006,5,63518.1605016993,180851.755552103,182152.389972952,180715.561846195
2006,6,39146.1299337856,115226.114086611,116005.916688028,115015.822568292
2006,7,16580.1397321597,36859.4453019071,37261.6425511164,36726.4162452234
2006,8,12785.3187259297,21983.6882723312,22241.1782509705,21953.1660122714
2006,9,14399.973030142,22211.8912154253,22376.2640285008,22208.7488473841
2006,10,15505.3203981799,23540.3655802986,23675.2581981851,23538.8786651197
2006,11,14378.4815167228,35906.6853884061,36633.5479379503,35935.1663018245
2006,12,14897.5594042901,30357.983105692,31667.4083553901,30371.6641349988
2007,1,15495.809836035,27097.1217172494,29023.7835227312,27092.4876753797
2007,2,18016.8112754057,37205.3535301567,39882.849352184,37219.7505338214
2007,3,22783.6640655349,59604.20634427,62429.9985253746,59634.6845082947
2007,4,24981.4942087431,65765.9804999019,67232.2204685751,65791.7835779554
2007,5,33688.600710304,109104.537228669,109963.299028989,109089.200492664
2007,6,21251.1751213196,62012.0501878859,62544.4556239501,61964.0386947785
2007,7,12623.1969959099,26181.409996191,26640.600914769,26139.473868491
2007,8,11486.3124071154,19921.9648865998,20240.8643158836,19892.3087699955
2007,9,14133.0673164942,21365.4501092258,21525.2745845047,21360.2323519223
2007,10,16696.6981368958,26452.6720122266,26560.1858274657,26462.0997095855
2007,11,15576.4860243847,27287.2006401367,27594.0426994878,27294.009612159
2007,12,15177.2958997295,27857.0365556073,28829.9754708886,27859.623396324
2008,1,13720.5422340639,23264.7111997759,24267.3121369897,23266.4608892165
2008,2,14234.9652889763,27146.8255414679,29428.4810727831,27196.5763996079
2008,3,17651.5821739028,38874.2514605291,42302.5364701149,38870.8925150119
2008,4,19777.4837126744,50452.2553227587,52944.5409743418,50590.2030242804
2008,5,44399.6234375187,164693.121431487,167832.455680683,164962.311698671
2008,6,41347.7127468312,167688.773848611,169310.956369385,167517.860490702
2008,7,20700.6867035234,62905.2944714325,63370.3673895593,62665.5690249538
2008,8,12912.9218305893,26216.0195556404,26486.9952991956,26182.0699128437
2008,9,13906.2678543661,23625.4195119746,23801.9591440371,23618.3361385891
2008,10,14872.7421034441,23201.6179469815,23348.707272696,23204.8834032627
2008,11,14024.453209549,30091.502511586,30405.1606931955,30120.760617766
2008,12,12951.6692834189,24729.4934378291,25324.2372253496,24730.5284452315
2009,1,14195.5983984985,35666.818510298,38952.274564853,35663.2397332169
2009,2,13537.1539171699,28064.7332689579,30034.979136277,28118.9246890538
2009,3,18436.7961557643,47127.574225049,51771.5818548273,47178.6868586671
2009,4,24478.4346381611,84772.797627591,90813.3397344383,84864.33463279
2009,5,38083.2742571501,147767.182267705,150652.299589305,148079.492621599
2009,6,39983.9919919095,134600.604441003,135729.308794202,134269.862944005
2009,7,19494.926810686,44418.6260850022,44863.7780551292,44223.4131307456
2009,8,14114.5688443042,26665.7441589139,26943.8190978805,26647.8198077093
2009,9,13399.0926803297,21950.8461741181,22138.3083061654,21928.0653657393
2009,10,15462.0890938398,24518.3937633272,24749.5579132555,24557.2542105857
2009,11,12866.1070106713,22733.8501112098,23120.1191846473,22716.5513823853
2009,12,12443.966710805,20259.232696824,21002.2378207831,20260.9407614114
2010,1,16569.1415487748,27712.7674355366,29262.5418998489,27722.5511292613
2010,2,17176.8005698713,27783.6401220229,29075.3567393504,27783.7768557443
2010,3,19285.3849517279,33010.4725871044,33996.67249131,33055.0942720716
2010,4,25234.21035343,58413.712361556,59746.7560727302,58476.8481728383
2010,5,28327.9293652668,84866.2249744687,86181.6862092405,84909.1195118308
2010,6,51824.5083629519,160699.909930444,161747.190168268,160712.333853507
2010,7,20072.9486511927,49592.6102331947,50050.2516902385,49453.7680592966
2010,8,13073.3506178424,24844.9496934479,25110.840156876,24817.4174679403
2010,9,14309.3206986227,24384.2945886253,24563.9243863986,24380.3955899722
2010,10,15993.1564687327,24733.2982556467,24869.5679914552,24761.8440572526
2010,11,14199.1759206794,26151.9751414513,26340.2041619312,26146.2139830863
2010,12,17007.2663251544,32007.1078301709,32995.3029105497,32027.7464696884
2011,1,19353.6827002883,48209.6432312271,51266.2292730675,48275.4698986385
2011,2,15993.3616617787,36782.1126763574,38727.9321408409,36744.7343751815
2011,3,30433.3817203485,61595.2466789181,66024.5397794599,61845.18567291
2011,4,40713.2412854595,100270.735098134,105096.64214927,100201.223211347
