"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1993-11-21 11 17 21 1993 152413.911514286 849142.621089295 0 152413.911514286 335286.911114285
1993-11-28 11 18 28 1993 139801.0167 892316.657728571 0 139801.0167 345434.350942857
1993-12-05 12 19 5 1993 132871.804720001 3588880.7811581 0 129897.543857143 941305.615747554
1993-12-12 12 20 12 1993 169242.629394285 3097129.28284752 0 172216.890257143 396014.317085714
1993-12-19 12 21 19 1993 151574.9031 1941386.47585151 0 151574.9031 339013.853928571
1993-12-26 12 22 26 1993 196351.7706 968058.050883729 0 196351.7706 344581.458228571
1994-01-02 1 23 2 1994 412444.326614286 2644441.46399889 0 162444.326614286 600439.633097442
1994-01-09 1 24 9 1994 160208.954314287 2523790.73124329 0 160208.954314287 399372.570934789
1994-01-16 1 25 16 1994 143184.819042857 2526000.80676567 0 143184.819042857 395349.762697181
1994-01-23 1 26 23 1994 151106.803928571 2478120.18190114 0 151106.803928571 381056.245192549
1994-01-30 1 27 30 1994 210765.657557143 2444738.75201236 0 210765.657557143 348755.093314285
1994-02-06 2 28 6 1994 123709.356802857 2920183.58629565 0 240951.682642857 718625.050005873
1994-02-13 2 29 13 1994 120139.901619999 1836996.98448978 0 247804.576428571 398018.467517292
1994-02-20 2 30 20 1994 257904.968220001 1284824.06894438 0 262997.967571429 372716.158372181
1994-02-27 2 31 27 1994 262442.595571428 1360422.41123366 0 262442.595571428 453651.886685714
1994-03-06 3 32 6 1994 498664.996028572 2720122.44499001 0 261664.996028572 540898.688628571
1994-03-13 3 33 13 1994 253056.730028571 1432171.62827882 0 253056.730028571 522813.346142857
1994-03-20 3 34 20 1994 238113.256285714 1423787.80447201 0 238113.256285714 592356.170957144
1994-03-27 3 35 27 1994 245394.5799 1492710.64735406 0 245394.5799 530860.622785714
1994-04-03 4 36 3 1994 213932.755542857 1327113.43665898 0 213932.755542857 676620.366471424
1994-04-10 4 37 10 1994 195901.099428571 1658650.99870861 0 195901.099428571 723980.713771424
1994-04-17 4 38 17 1994 218151.599271429 1615992.1114983 0 218151.599271429 1350746.76784286
1994-04-24 4 39 24 1994 270259.459814286 2185194.06862378 0 270259.459814286 1866212.38959711
1994-05-01 5 40 1 1994 102154.1794 1790039.25 0 35253.7512857138 1042784.8778
1994-05-08 5 41 8 1994 91598.1444571437 1790039.25 0 36404.1647142862 1767125.86596397
1994-05-15 5 42 15 1994 106929.188517143 1790039.25 94648.8362273495 32375.7342428573 1758425.38617143
1994-05-22 5 43 22 1994 107799.139085715 2577663.31074322 331325.827772169 23210.112771429 1460420.70485714
1994-05-29 5 44 29 1994 132136.730208572 2512678.8517547 481443.592114286 -17750.5557000001 1319794.56404285
1994-06-05 6 45 5 1994 136808.202117143 2677648.04104654 746681.124951431 138444.322242858 1328375.97218572
1994-06-12 6 46 12 1994 128976.663528571 1899259.71197857 447744.412542857 172070.113371429 1174994.12661428
1994-06-19 6 47 19 1994 148957.758005715 1802619.52943214 410718.951385714 109987.457657143 950583.9696
1994-06-26 6 48 26 1994 146231.476527144 2267155.12486651 392917.295314286 119161.013014286 1464327.06746853
1994-07-03 7 49 3 1994 148507.708338572 1087737.6085 744123.335315326 100597.703914286 1143556.24245714
1994-07-10 7 50 10 1994 151627.510548571 1014154.84665849 366358.335212267 87387.7841999997 637327.129526553
1994-07-17 7 51 17 1994 152645.428085714 624470.830282335 238279.265171431 85069.1060999995 544218.644242861
1994-07-24 7 52 24 1994 159895.412851429 1190851.7121814 135593.613 81105.1384499999 484784.488392628
1994-08-07 8 1 7 1994 121029.808621426 726577.341111174 607695.360335483 91981.5040285713 932664.962471426
1994-08-14 8 2 14 1994 93574.2315857143 736608.088692861 485302.226685712 93574.2315857142 825560.344942856
1994-08-21 8 3 21 1994 105661.506471429 546783.296099725 294724.341414285 105661.506471429 643767.254628571
1994-08-28 8 4 28 1994 96850.9263857147 288529.256596045 63541.8298857147 96850.9263857147 364212.693946152
1994-09-04 9 5 4 1994 97168.2818142852 324100.006011924 38041.2066241205 97168.2818142851 215026.778070473
1994-09-11 9 6 11 1994 104336.547557143 695886.692474737 775.134320886806 104336.547557143 132465.11908802
1994-09-18 9 7 18 1994 119139.194828571 1009340.95634332 0 119139.194828571 105567.633728571
1994-09-25 9 8 25 1994 119224.4841 1366432.11333444 0 119224.4841 82983.8280428582
1994-10-02 10 9 2 1994 129215.229685714 1595384.42558441 0 129215.229685714 175732.810514285
1994-10-09 10 10 9 1994 134471.428971429 1844728.3457748 0 134471.428971429 181750.662828571
1994-10-16 10 11 16 1994 131262.416002857 1845708.43347418 0 144733.910142857 190261.738728571
1994-10-23 10 12 23 1994 130944.862227143 2132494.72398316 0 143067.794142857 216189.677242858
1994-10-30 10 13 30 1994 133330.184967143 2007230.96173636 0 138563.330528571 307810.189471429
1994-11-06 11 14 6 1994 135278.945645714 540497.25 0 129360.0231 315712.339642857
1994-11-13 11 15 13 1994 128838.217222858 2502244.57199589 0 150442.340914286 363023.775571428
1994-11-20 11 16 20 1994 128199.936117142 659072.575924987 0 154796.0607 322146.4129
