"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
2032-06-06 6 45 6 2032 23611872.8946197 NA 0 2269339.01858118 0 880423.333418822 477868.496585079
2032-06-13 6 46 13 2032 74618377.5879604 NA 0 3465321.64565169 0 0 649164.247535214
2032-06-20 6 47 20 2032 18343662.5951235 NA 0 2941728.34872392 583885.541700753 208034.003276081 874309.034738521
2032-06-27 6 48 27 2032 51620710.1194515 NA 0 3035878.43098445 0 113883.921015551 0
2032-07-04 7 49 4 2032 53200459.1533605 NA 0 3210426.5118078 103149.83432276 0 103149.83432276
2032-07-11 7 50 11 2032 46470052.2602294 NA 0 3019013.63683542 546442.947808496 0 546442.947808496
2032-07-18 7 51 18 2032 8302022.96361066 NA 0 4018883.40035462 650443.577011135 0 650443.577011135
2032-07-25 7 52 25 2032 7401260.26394976 NA 0 3338799.45459894 267107.058718649 0 267107.058718649
2032-08-01 8 1 1 2032 23719546.772333 NA 0 3634517.67067319 989550.921017318 0 989550.921017318
2032-08-08 8 2 8 2032 3667315.59956975 NA 0 3462702.01072828 630660.620672455 0 630660.620672455
2032-08-15 8 3 15 2032 1998070.00098585 NA 0 3117757.10334963 0 0 0
2032-08-22 8 4 22 2032 2213200.55115954 NA 0 2440737.06106389 0 345048.506936106 16281.1222924162
2032-08-29 8 5 29 2032 2455531.5631747 NA 0 2659741.78075695 0 126043.787243047 60680.7747269125
2032-09-05 9 6 5 2032 1802352.38104462 NA 0 2780905.59690885 168580.820705726 0 318519.293712526
2032-09-12 9 7 12 2032 1969755.33010861 NA 92689.1372264349 1647994.49477357 237724.828250874 988980 510651.91344293
2032-09-19 9 8 19 2032 2045215.81778343 NA 781771.41926025 958912.21273975 102585.233501238 988980 611828.036604205
2032-09-26 9 9 26 2032 1900699.6348787 NA 832892.29535085 907791.33664915 87460.1174534037 988980 549551.529934034
2032-10-03 10 10 3 2032 2005376.67181412 NA 730170.773309621 897378.346690379 118035.807642433 1125720 487088.389537686
2032-10-10 10 11 10 2032 1907933.0514581 NA 692789.607596169 934759.512403832 79913.8592327029 1125720 393335.165712483
2032-10-17 10 12 17 2032 1959644.74357626 NA 834257.377167672 793291.742832328 60910.8221565144 1125720 379529.625045608
2032-10-24 10 13 24 2032 1975329.87627899 NA 690029.316489528 937519.803510472 116286.737928535 1125720 464354.122490063
2032-10-31 10 14 31 2032 1928272.35436212 NA 686825.032338129 940724.087661871 87891.9401027154 1203100 419900.961801523
