CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
260931 0.35 0 8 -114.84375 42.59375 35.519894031398 SNKHI 64
260932 0.35 0 6 -114.78125 42.59375 35.519894031398 SNKHI 64
260933 0.35 0 9 -114.71875 42.59375 35.519894031398 SNKHI 64
260934 0.35 0 8 -114.65625 42.59375 35.519894031398 SNKHI 64
260935 0.35 0 12 -114.59375 42.59375 35.519894031398 SNKHI 64
260936 0.35 0 8 -114.53125 42.59375 35.519894031398 SNKHI 64
260937 0.35 0 3 -114.46875 42.59375 35.519894031398 SNKHI 64
260938 0.35 0 8 -114.40625 42.59375 35.519894031398 SNKHI 64
260939 0.35 0 5 -114.34375 42.59375 35.519894031398 SNKHI 64
260940 0.35 0 10 -114.28125 42.59375 35.519894031398 SNKHI 64
260941 0.35 0 11 -114.21875 42.59375 35.519894031398 SNKHI 64
260942 0.35 0 9 -114.15625 42.59375 35.519894031398 SNKHI 64
260943 0.35 0 7 -114.09375 42.59375 35.519894031398 SNKHI 64
260944 0.35 0 11 -114.03125 42.59375 35.519894031398 SNKHI 64
260945 0.35 0 10 -113.96875 42.59375 35.519894031398 SNKHI 64
260946 0.35 0 8 -113.90625 42.59375 35.519894031398 MILNE 63
260947 0.35 0 10 -113.84375 42.59375 35.519894031398 MILNE 63
260948 0.35 0 9 -113.78125 42.59375 35.519894031398 MILNE 63
260949 0.35 0 7 -113.71875 42.59375 35.519894031398 MILNE 63
260950 0.35 0 8 -113.65625 42.59375 35.519894031398 MILNE 63
260951 0.35 0 9 -113.59375 42.59375 35.519894031398 MILNE 63
260952 0.35 0 9 -113.53125 42.59375 35.519894031398 MINAD 51
260953 0.35 0 7 -113.46875 42.59375 35.519894031398 MINAD 51
260956 0.35 0 6 -113.28125 42.59375 35.519894031398 MINAD 51
260957 0.35 0 12 -113.21875 42.59375 35.519894031398 MINAD 51
260958 0.35 0 7 -113.15625 42.59375 35.519894031398 MINAD 51
260959 0.35 0 3 -113.09375 42.59375 35.519894031398 MINAD 51
260962 0.35 0 7 -112.90625 42.59375 35.519894031398 MINAD 51
260963 0.35 0 4 -112.84375 42.59375 35.519894031398 MINAD 51
260964 0.35 0 2 -112.78125 42.59375 35.519894031398 MINAD 51
260968 0.35 0 5 -112.53125 42.59375 35.519894031398 AMERI 50
260970 0.35 0 3 -112.40625 42.59375 35.519894031398 AMERI 50
