Long Lat CellID StnID WRIA_ID StnNum ConveyanceLoss GridArea GW_historical GW_Future ReturnFlow
-116.78125 48.28125 345348 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.71875 48.28125 345349 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.65625 48.28125 345350 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.59375 48.28125 345351 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.53125 48.28125 345352 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.46875 48.28125 345353 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.40625 48.28125 345354 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.34375 48.28125 345355 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.28125 48.28125 345356 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.21875 48.28125 345357 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.15625 48.28125 345358 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.09375 48.28125 345359 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.03125 48.28125 345360 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-117.46875 48.21875 344409 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.40625 48.21875 344410 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.34375 48.21875 344411 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.28125 48.21875 344412 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.21875 48.21875 344413 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.15625 48.21875 344414 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.09375 48.21875 344415 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-117.03125 48.21875 344416 ALBEN 62 1 0.2 32.1480997736339 0.2 0.2 0
-116.96875 48.21875 344417 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.90625 48.21875 344418 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.84375 48.21875 344419 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.78125 48.21875 344420 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.71875 48.21875 344421 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.65625 48.21875 344422 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.59375 48.21875 344423 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.53125 48.21875 344424 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.46875 48.21875 344425 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.40625 48.21875 344426 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.34375 48.21875 344427 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.28125 48.21875 344428 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.21875 48.21875 344429 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.15625 48.21875 344430 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.09375 48.21875 344431 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-116.03125 48.21875 344432 ALBEN NA 1 0.2 32.1480997736339 0.2 0.2 0
-117.34375 48.15625 343483 ALBEN 55 1 0.2 32.1873280566904 0.2 0.2 0
