"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1993-07-04 7 49 4 1993 4548350.16646199 254376.573997879 0 2832832.70134112 254376.573997879 129320.658658876
1993-07-11 7 50 11 1993 4362042.32955296 73273.7231098218 0 2485423.21632172 73273.7231098218 476730.143678275
1993-07-18 7 51 18 1993 4324932.90298741 148847.439673846 0 2847164.26911126 148847.439673846 114989.090888737
1993-07-25 7 52 25 1993 4228026.34222969 224133.24221007 0 2469797.01661721 224133.24221007 492356.343382787
1993-08-01 8 1 1 1993 2838339.88700811 289232.149155863 0 2879708.19664771 289232.149155863 0
1993-08-08 8 2 8 1993 1632904.59317765 144339.846430696 0 2481622.61251489 144339.846430696 354885.891485113
1993-08-15 8 3 15 1993 459668.802602967 0 178058.148872995 1764461.422167 0 913221.8
1993-08-22 8 4 22 1993 429866.884764915 16281.1222924162 0 2217020.29408764 0 577807.073912362
1993-08-29 8 5 29 1993 947158.651764282 60680.7747269125 0 1999617.5737069 0 795209.794293103
1993-09-05 9 6 5 1993 1542655.97086145 240655.925250566 193929.305986997 1564161.162333 70987.0028558625 998869.8
1993-09-12 9 7 12 1993 1684790.91282794 363872.368841534 557264.649161552 1200825.81915845 77134.7634328046 998869.8
1993-09-19 9 8 19 1993 1656857.02282286 483419.962587527 649145.950920762 1108944.51739924 95952.7055559588 998869.8
1993-09-26 9 9 26 1993 1651257.90705094 612682.918722595 676037.499720244 1082052.96859976 132256.98996465 998869.8
1993-10-03 10 10 3 1993 1465419.08670108 367899.711112742 561290.694560229 1082533.91663977 71042.7981425057 1136977.2
1993-10-10 10 11 10 1993 1448934.58716427 377774.77017785 696719.564576574 947105.046623427 47633.9040713214 1136977.2
1993-10-17 10 12 17 1993 1441812.88781256 466532.26814717 631646.652623832 1012177.95857617 75667.1582737947 1136977.2
1993-10-24 10 13 24 1993 1406973.2345964 436001.989890069 489755.436344001 1154069.174856 103791.205540743 1136977.2
1993-10-31 10 14 31 1993 1495640.60273038 438170.820296843 619195.317902027 1024629.29329797 87118.7567422209 1215131
1993-11-07 11 15 7 1993 1533613.61401176 171604.427837463 231317.07498596 1751295.77925404 12124.6354189092 1215131
1993-11-14 11 16 14 1993 1587182.2444369 222066.464851547 835754.578071825 1146858.27616817 5412.05350838611 1117706.4
1993-11-21 11 17 21 1993 1564195.35931104 449462.736732401 912566.067964873 1070046.78627513 28546.2218699384 1117706.4
1993-11-28 11 18 28 1993 1425556.42077507 434875.778369525 927040.346470319 1055572.50776968 1008.06049196182 1008505.2
1993-12-05 12 19 5 1993 1652895.22057431 594605.307025339 367406.214171402 1941966.8981486 350293.379910781 1008505.2
1993-12-12 12 20 12 1993 1713435.69584269 599323.245279631 443947.051015147 1865426.06130485 273379.892928693 1008505.2
1993-12-19 12 21 19 1993 1859019.18030302 431926.629209376 413815.980430924 1895557.13188908 149391.76227294 1008505.2
1993-12-26 12 22 26 1993 1878336.91987444 390919.8979151 547215.080679949 1762158.03164005 103741.846621414 1008505.2
1994-01-02 1 23 2 1994 2544861.32376401 2385432.86271201 923843.342306083 1375506.44921392 1346937.78219967 1020281.8
1994-01-09 1 24 9 1994 1611535.91874361 412376.561665118 893643.423048679 1405706.36847132 30155.7032564864 1020281.8
1994-01-16 1 25 16 1994 1837633.20533056 298711.469006621 736943.115606627 1562406.67591337 7052.65231218742 1020281.8
1994-01-23 1 26 23 1994 2004498.88180325 274859.871090791 780531.355056777 1518818.43646322 3974.08020254363 1020281.8
1994-01-30 1 27 30 1994 2092367.69733498 277041.53271325 813388.400490768 1485961.39102923 7253.62724269591 1033129
1994-02-06 2 28 6 1994 1679741.90572691 1228871.8758943 86079.9562593759 2052896.70246062 885378.471329171 1103788.6
1994-02-13 2 29 13 1994 1574282.5874619 309168.861564121 726752.514496369 1412224.14422363 2339.40249322884 1033129
1994-02-20 2 30 20 1994 1353001.73283968 364221.143880161 1080247.10581254 1058729.55290746 4794.33423958235 1033129
1994-02-27 2 31 27 1994 999007.724077218 425933.96553743 1000877.9771112 1138098.6816088 4582.34705190821 1033129
1994-03-06 3 32 6 1994 408684.706561274 266494.999528299 754166.337437051 1126208.64464295 0 1103788.6
1994-03-13 3 33 13 1994 397856.60620644 347204.762919911 632234.191666649 1248140.79041335 2738.31172846153 1103788.6
1994-03-20 3 34 20 1994 486291.365762076 380635.846117774 673943.879855183 1206431.10222482 10245.1571985407 1126271.2
1994-03-27 3 35 27 1994 628941.185697068 466265.908594361 274899.756416456 1605475.22566354 0 1126271.2
1994-04-03 4 36 3 1994 1083516.38798543 402557.884607969 396578.462442379 1337456.03595762 16167.7487972897 1202283.8
1994-04-10 4 37 10 1994 1891053.82236173 445893.002631375 0 1872569.84375046 34651.0405894876 1046579.79624954
1994-04-17 4 38 17 1994 2490153.92388565 62840.8222879616 239916.842628744 1676542.09433126 0 1202283.8
1994-04-24 4 39 24 1994 4592887.31344595 421049.173273224 764791.390926609 1151667.54603339 0 1202283.8
1994-05-01 5 40 1 1994 5888060.09075979 3339021.51051596 0 2793331.16481425 3022876.54674764 569912.163185746
1994-05-08 5 41 8 1994 5323575.27761365 2682169.34185591 0 2642746.82225779 2254799.06968387 720496.505742207
1994-05-15 5 42 15 1994 4771829.32533095 581966.776602806 0 2582869.74738954 27830.9051997389 780373.580610463
1994-05-22 5 43 22 1994 6029425.02529648 644634.619247356 410031.846617238 1710902.83466276 0 1263308
1994-05-29 5 44 29 1994 7473786.78810006 807589.061444956 441874.783934011 1679059.89734599 0 1263308
1994-06-05 6 45 5 1994 6439821.50705538 549539.814103199 520565.274964772 1578318.10055523 0 1082376.6
