"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy" "BonnevilleFlow"
1988-10-16 10 11 16 1988 350598.737908322 1124594.28 1673.56398842929 0 14384.6621169601 0 0 0 95357.7712459848 0 6009127.94307895 44636299.1540087 NA 1275322.83297168 0
1988-10-23 10 12 23 1988 63747.5775360619 1124594.28 0 0 0 0 0 0 87964.4207207077 0 6033037.50368264 54676089.7670378 NA 1562173.99334394 0
1988-10-30 10 13 30 1988 0 1114288.53998737 1319.62514962355 0 0 0 0 0 92283.6309768373 0 5769070.64556976 56964219.2 NA 1637854.86001263 0
1988-11-06 11 14 6 1988 208589.706668626 1201896.9 16.1565243509558 0 5286.88422411864 0 0 0 92770.1410742888 0 5716965.45721893 49606615.2473981 NA 1417331.86421137 0
1988-11-13 11 15 13 1988 0 873024.372954236 0 0 0 0 0 0 76860.8622857134 0 5774266.02801464 68704405.84 NA 2291855.55104576 0
1988-11-20 11 16 20 1988 0 1050855.94428265 0 0 0 0 0 0 83629.1991757228 0 6252374.66725143 68704405.84 NA 2017660.43971735 0
1988-11-27 11 17 27 1988 37512.4064160343 1105533.36 0 0 0 0 0 0 83977.5958052138 0 6524066.6472002 67322767.2095988 NA 1923507.63455997 0
1988-12-04 12 18 4 1988 59399.2962928419 997521.48 0 0 0 0 0 0 80890.7266008905 0 7012909.47940321 66556726.0639105 NA 1901620.74468316 0
1988-12-11 12 19 11 1988 0 613540.804429006 0 0 0 0 0 0 85058.0005835973 0 6882567.29875991 80027781.12 NA 2670488.70757099 0
1988-12-18 12 20 18 1988 0 692669.251196227 0 0 0 0 0 0 86289.0781469695 0 7750304.87204127 80027781.12 NA 2591360.26080377 0
1988-12-25 12 21 25 1988 23664.1918169847 997521.48 0 0 0 0 0 0 86620.7947958296 0 8553274.48303226 79119506.6252855 NA 2260557.33215101 0
1989-01-01 1 22 1 1989 56135.1777351219 997521.48 0 0 0 0 0 0 87418.7371121472 0 8807809.86705878 77983022.1181507 NA 2228086.34623288 0
1989-01-08 1 23 8 1989 0 470236.546611738 0 0 0 0 0 0 83937.6886180867 0 9230682.13090767 79680438.32 NA 2815517.22538826 0
1989-01-15 1 24 15 1989 499036.594513608 1009169.82 0 0 0 0 10.2109554223607 0 87265.6482102969 0 10153416.122504 62134477.0737037 NA 1775270.77353439 0
1989-01-22 1 25 22 1989 411314.35245369 1009169.82 0 0 0 0 11.8393183221458 0 80898.3060596333 0 10230879.4666021 65204755.5458009 NA 1862993.01559431 0
1989-01-29 1 26 29 1989 273046.248163381 1009169.82 0 0 0 0 11.8393183221458 0 78738.1449347168 0 10391563.4313501 70044139.1959617 NA 2001261.11988462 0
1989-02-05 2 27 5 1989 333112.053453699 1021877.1 0 0 0 0 11.8393183221458 0 77858.8092252714 0 10610039.4130133 67941836.0108006 NA 1941195.3145943 0
1989-02-12 2 28 12 1989 0 560943.320755878 319.491906244175 0 0 0 11.8393183221456 0 79747.8445814259 0 10677939.9104353 74122953.52 NA 2648622.49124412 0
1989-02-19 2 29 19 1989 72033.9005058119 1021877.1 996.969610895542 0 0 0 16.9818019471313 0 83235.9245833911 0 11671981.9480079 71527644.0487766 NA 2043646.97282219 0
1989-02-26 2 30 26 1989 760275.634412512 1021877.1 609.487737747591 0 23454.7675037328 0 22.1003196441279 0 76974.9988702533 0 11913558.1020848 47439183.3620421 NA 1355405.23891549 0
1989-03-05 3 31 5 1989 655904.264036508 1021877.1 370.440247349144 0 24068.4827206013 0 19.3510584411065 0 73664.8476246027 0 11482734.7943295 51092181.3252022 NA 1459776.60929149 0
1989-03-12 3 32 12 1989 772840.354567373 1091767.14 1362.44124907599 0 31204.6068562073 0 14.66468892638 0 87214.6719713939 0 10808712.8471453 38046935.3608619 NA 1087055.29602463 0
1989-03-19 3 33 19 1989 0 810265.286636738 1028.50837130886 0 6657.09209963798 0 13.6026085138114 0 17632.0303429068 0 9935639.56321881 65161509.28 NA 2143259.26136326 0
1989-03-26 3 34 26 1989 0 1002270.67133039 1402.63310732453 0 2200.08622265561 0 13.1368203142597 0 45742.8809431403 0 9028628.8449532 65161509.28 NA 1973491.61666961 0
1989-04-02 4 35 2 1989 0 973823.363270668 1153.66165560169 0 0 0 12.7746490303366 0 49364.8269801693 0 8190708.54368762 65161509.28 NA 2001938.92472933 0
1989-04-09 4 36 9 1989 0 922563.300783285 1057.29198715651 0 0 0 12.2456395000772 0 42845.0640646704 0 16561543.1969922 60090304.4 NA 1983492.15921672 0
1989-04-16 4 37 16 1989 0 0 0 6200.94816494442 0 0 12.1017249497224 0 18747.4186308205 0 15884389.2924441 60090304.4 NA 3066439.51108469 0
1989-04-23 4 38 23 1989 0 0 0 0 0 0 20.2180822989435 0 0 0 17477402.5966866 66411943.36 NA 3382890.34085459 0
1989-04-30 4 39 30 1989 0 0 0 0 0 0 28.8525870761107 0 0 0 16164519.5698461 66411943.36 NA 4084876.89331522 0
1989-05-07 5 40 7 1989 0 0 0 0 0 0 32.6010432865262 0 0 0 16923290.4302153 73497736.48 NA 4047237.48080363 0
1989-05-14 5 41 14 1989 0 0 0 0 0 0 47.1753487193348 0 0 0 16493324.0421238 73497736.48 NA 3985263.47101596 0
1989-05-21 5 42 21 1989 0 0 0 0 0 0 48.0020422551347 0 0 0 18038975.5205305 73497736.48 NA 4080813.00545762 0
1989-05-28 5 43 28 1989 0 0 0 0 0 0 37.8034595935674 0 0 0 16197200.0580417 73497736.48 NA 3633782.78203847 0
1989-06-04 6 44 4 1989 82159.2047764154 1249549.2 0 5149.38036120434 74219.9684877915 29371.6790492827 26.581491313782 0 10209.3396817708 0 15289105.449378 70548666.5763455 NA 2015676.18789558 0
1989-06-11 6 45 11 1989 0 333490.194319584 0 0 37397.1535839591 4309.59310879506 14.3238699036187 0 0 0 12541320.4989788 72733582.32 NA 2815200.49768042 0
1989-06-18 6 46 18 1989 0 0 0 0 0 0 6.6013612172444 0 4369.65028644411 0 9501250.75655156 72733582.32 NA 3708032.23883788 0
1989-06-25 6 47 25 1989 0 0 0 20288.9483708157 0 0 0 0 19137.0436843236 0 6734915.00275537 72733582.32 NA 3672774.67778077 0
1989-07-02 7 48 2 1989 0 505164.182762571 0 8364.50420655525 5589.37650797729 0 0 0 57343.9947448001 0 4526468.52114518 72733582.32 NA 2643526.50923743 0
1989-07-09 7 49 9 1989 0 0 0 10728.8356764181 0 0 0 0 61134.9802510291 0 3122551.81376755 71899959.6 NA 3036037.08628083 0
1989-07-16 7 50 16 1989 0 616810.909015408 0 14454.1516792944 0 0 0 0 64974.3992050028 0 2547428.89484124 71899959.6 NA 2335454.77098459 0
1989-07-23 7 51 23 1989 0 486300.335975556 0 17896.0955182197 0 0 0 0 68061.5902134041 0 1977683.02361341 71899959.6 NA 2465965.34402444 0
1989-07-30 7 52 30 1989 0 616412.577617915 0 21788.348164325 0 0 0 0 71559.6718758693 0 1619663.15654023 71899959.6 NA 2335853.10238208 0
1989-08-06 8 1 6 1989 0 291716.089474982 0 23165.9825464479 0 0 0 0 75636.2129966325 0 1729127.93813057 67315034.64 NA 2534846.43452502 0
1989-08-13 8 2 13 1989 24838.3179359534 903275.82 0 29356.3417963337 0 25183.7790369211 0 0 81940.2049998818 0 2441361.5567275 66378378.4776016 NA 1896525.09936005 0
1989-08-20 8 3 20 1989 0 873206.291810342 0 30849.5483021509 0 23162.9516488279 0 0 82724.4388267576 0 2538306.74509729 67315034.64 NA 1953356.23218966 0
